game_name,total view_count
Fortnite,2662354
League of Legends,2080511
Super Smash Bros. Ultimate,1318158
Just Chatting,1099294
Hearthstone,983724
Dota 2,966747
PLAYERUNKNOWN'S BATTLEGROUNDS,745422
The Game Awards,709654
Call of Duty: Black Ops 4,645235
Path of Exile,598001
Counter-Strike: Global Offensive,469851
Overwatch,338361
World of Warcraft,282357
Casino,274034
Lost Ark Online,271661
FIFA 19,253436
Tom Clancy's Rainbow Six: Siege,251854
Warframe,216257
Sea of Thieves,214415
Music & Performing Arts,205187
Dead by Daylight,195629
Old School RuneScape,181780
Minecraft,149617
Destiny 2,145723
Talk Shows & Podcasts,134738
Grand Theft Auto V,116797
Magic: The Gathering,115031
"Pokemon: Let's Go, Pikachu!/Eevee!",96930
Poker,95053
StarCraft II,92489
Special Events,90318
Battlefield V,82018
Battlerite Royale,80191
Black Desert Online,76472
Heroes of the Storm,70416
Art,66558
Just Cause 4,64712
Rust,61491
Rocket League,60627
World of Tanks,58727
Ashen,58524
Artifact,56549
Red Dead Redemption 2,55914
Escape From Tarkov,53313
Mutant Year Zero: Road to Eden,52614
Insurgency: Sandstorm,52008
Sports & Fitness,50133
NBA 2K19,49592
Dark Souls III,46735
Star Citizen,46472
Creative Destruction,45995
7 Days to Die,42017
Slay the Spire,40348
Friday the 13th: The Game,39647
ARK,38952
Fallout 76,38696
Tekken 7,38325
Lineage II,38206
World of Warships,37722
Farming Simulator 19,33498
Battle Brothers,31511
Smite,31185
Kenshi,29820
Ring Of Elysium,29075
Street Fighter V,28281
Games + Demos,27487
The Elder Scrolls Online,25914
Tibia,25857
Fallout 4,25516
Marbles On Stream,24272
ASMR,23536
The Legend of Zelda: Ocarina of Time,23275
Earth Defense Forces 5,22631
Food & Drink,22023
Parkitect,21946
Kingdom Two Crowns,21812
osu!,21067
Always On,20938
Warcraft III: The Frozen Throne,20509
Retro,20137
Soulcalibur VI,19846
Travel & Outdoors,19383
Super Mario 64,18534
Katamari Damacy,18219
