game_id,game_name,view_count
33214,Fortnite,2129766
21779,League of Legends,1629649
504461,Super Smash Bros. Ultimate,1123121
509658,Just Chatting,928661
29595,Dota 2,800058
138585,Hearthstone,761407
493057,PLAYERUNKNOWN'S BATTLEGROUNDS,606964
504462,Call of Duty: Black Ops 4,586345
29307,Path of Exile,578018
32399,Counter-Strike: Global Offensive,391746
488552,Overwatch,282279
490100,Lost Ark Online,241683
18122,World of Warcraft,236381
509576,Casino,216938
506103,FIFA 19,214484
66170,Warframe,212344
460630,Tom Clancy's Rainbow Six: Siege,198717
490377,Sea of Thieves,178463
491487,Dead by Daylight,168570
26936,Music & Performing Arts,154295
459931,Old School RuneScape,142703
27471,Minecraft,129888
497057,Destiny 2,105824
32982,Grand Theft Auto V,102556
2748,Magic: The Gathering,94127
509663,Special Events,88790
488190,Poker,79014
490422,StarCraft II,77359
506237,"Pokemon: Let's Go, Pikachu!/Eevee!",72303
509146,Battlerite Royale,70778
386821,Black Desert Online,67589
504199,Battlefield V,66044
32959,Heroes of the Storm,61370
4520,Ashen,57925
509660,Art,56440
30921,Rocket League,55021
491705,Insurgency: Sandstorm,51921
504260,Mutant Year Zero: Road to Eden,50305
27546,World of Tanks,50235
263490,Rust,49134
506384,Just Cause 4,47477
16937,Artifact,43126
490292,Dark Souls III,42906
491931,Escape From Tarkov,42429
488518,Friday the 13th: The Game,39214
506383,NBA 2K19,38525
271304,7 Days to Die,38087
71375,Star Citizen,34364
461067,Tekken 7,34193
496902,Slay the Spire,34182
506246,Fallout 76,32582
8901,Lineage II,31463
32502,World of Warships,30814
489635,ARK,29771
504689,Farming Simulator 19,29582
34025,Kenshi,29459
490771,Battle Brothers,28859
32507,Smite,24879
504954,Ring Of Elysium,24575
19619,Tibia,23726
66082,Games + Demos,23361
488615,Street Fighter V,22833
493080,Earth Defense Forces 5,22631
509659,ASMR,21943
510344,Kingdom Two Crowns,21812
490719,Parkitect,21678
509667,Food & Drink,20783
65654,The Elder Scrolls Online,19802
21465,osu!,19551
500626,Soulcalibur VI,19303
509511,Marbles On Stream,18638
10902,Katamari Damacy,18049
